date,permno_a,permno_b,action,side,w_prev,w_new
2018-01-09,91777,91781,stop,-1,0.004739709097354401,0.0040079188394351855
2018-01-09,10113,81472,stop,1,0.010177166949277524,0.00860585709170509
2018-01-09,15389,91725,stop,-1,0.0022101146246695197,0.0018688826380649616
2018-01-09,78405,80866,enter,-1,0.0,0.0008748832158451392
2018-01-09,15674,83218,enter,-1,0.0,0.0007977649792063424
2018-01-09,44601,48506,enter,1,0.0,0.0013244379280505736
2018-01-09,13407,16093,enter,-1,0.0,0.0010401779828177373
2018-01-09,14239,14487,enter,-1,0.0,0.0012314416729072137
2018-01-09,13756,14941,enter,-1,0.0,0.0013459219941482044
2018-01-09,15007,92956,enter,-1,0.0,0.006531094574579344
2018-01-09,15838,49015,enter,-1,0.0,0.001155982081432562
2018-01-09,14515,75346,enter,-1,0.0,0.0020764423703756394
2018-01-09,24205,90925,enter,-1,0.0,0.007004382859651738
2018-01-09,15838,77528,enter,-1,0.0,0.0015934343994038532
2018-01-09,83208,92804,enter,-1,0.0,0.0018272202410901206
2018-01-09,84389,87501,enter,1,0.0,0.0043996890498222575
2018-01-09,92110,93116,enter,-1,0.0,0.003924895913303202
2018-01-09,15267,90839,enter,-1,0.0,0.008753782919786459
2018-01-09,79678,89056,enter,-1,0.0,0.0004965056465931929
2018-01-09,15041,90050,enter,1,0.0,0.0009691020887973478
2018-01-09,85789,86382,enter,1,0.0,0.006490994402148757
2018-01-09,24205,86996,enter,-1,0.0,0.0037630652451591854
2018-01-09,15906,19828,enter,-1,0.0,0.0005484862200087821
2018-01-09,92110,92916,enter,-1,0.0,0.002516161615536191
2018-01-09,11363,17658,enter,1,0.0,0.006168693117267717
2018-01-09,70826,75837,enter,1,0.0,0.001978230331295564
2018-01-09,91872,92667,enter,-1,0.0,0.0019714484772481115
2018-01-10,78405,80866,stop,-1,0.0008748832158451392,0.0005456244588141386
2018-01-10,15674,83218,stop,-1,0.0007977649792063424,0.0004975293583839662
2018-01-10,44601,48506,stop,1,0.0013244379280505736,0.000825991074737256
2018-01-10,13407,16093,stop,-1,0.0010401779828177373,0.0006487112092978707
2018-01-10,14239,14487,stop,-1,0.0012314416729072137,0.0007679935837974837
2018-01-10,13756,14941,stop,-1,0.0013459219941482044,0.0008393896995197914
2018-01-10,15007,92956,stop,-1,0.006531094574579344,0.004073143567254788
2018-01-10,15838,49015,stop,-1,0.001155982081432562,0.0007209329041376047
2018-01-10,14515,75346,stop,-1,0.0020764423703756394,0.0012949816890709413
2018-01-10,24205,90925,stop,-1,0.007004382859651738,0.004368311721962429
2018-01-10,15838,77528,stop,-1,0.0015934343994038532,0.0009937518129099101
2018-01-10,83208,92804,stop,-1,0.0018272202410901206,0.0011395532993691685
2018-01-10,84389,87501,stop,1,0.0043996890498222575,0.002743883884480281
2018-01-10,92110,93116,stop,-1,0.003924895913303202,0.0024477772230767636
2018-01-10,15267,90839,stop,-1,0.008753782919786459,0.005459332150487125
2018-01-10,79678,89056,stop,-1,0.0004965056465931929,0.00030964775619667063
2018-01-10,15041,90050,stop,1,0.0009691020887973478,0.000604384440299172
2018-01-10,85789,86382,stop,1,0.006490994402148757,0.004048134932405556
2018-01-10,24205,86996,stop,-1,0.0037630652451591854,0.00234685087184906
2018-01-10,15906,19828,stop,-1,0.0005484862200087821,0.0003420656512083286
2018-01-10,92110,92916,stop,-1,0.002516161615536191,0.0015692143761606378
2018-01-10,11363,17658,stop,1,0.006168693117267717,0.0038471304315151806
2018-01-10,70826,75837,stop,1,0.001978230331295564,0.0012337313533671822
2018-01-10,91872,92667,resize,-1,0.0019714484772481115,0.009319097272934417
2018-01-10,89460,89490,resize,-1,0.011138496273414473,0.01705091545863089
2018-01-10,15461,17634,resize,1,0.011236402372710546,0.017165041605555334
2018-01-10,87717,91002,resize,1,0.011205818646141927,0.014677463416040228
2018-01-10,91777,91781,enter,-1,0.0,0.003949175907587941
2018-01-10,10113,81472,enter,1,0.0,0.010352247213850061
2018-01-10,15389,91725,enter,-1,0.0,0.002232276518043509
2018-01-10,76119,91878,enter,-1,0.0,0.007089796406518314
2018-01-11,91777,91781,stop,-1,0.003949175907587941,0.003372134950817236
2018-01-11,10113,81472,stop,1,0.010352247213850061,0.008839609950584807
2018-01-11,15389,91725,stop,-1,0.002232276518043509,0.001906103410567182
2018-01-11,76119,91878,stop,-1,0.007089796406518314,0.006053858024065865
2018-01-11,78405,80866,enter,-1,0.0,0.0007783158127718116
2018-01-11,44601,48506,enter,1,0.0,0.001175809657209535
2018-01-11,15674,83218,enter,-1,0.0,0.0007476178076771588
2018-01-11,13756,14941,enter,-1,0.0,0.0012261638937230983
2018-01-11,13407,16093,enter,-1,0.0,0.0009758747773696197
2018-01-11,14239,14487,enter,-1,0.0,0.0011168436675097553
2018-01-11,15007,92956,enter,-1,0.0,0.006269320595548232
2018-01-11,24205,90925,enter,-1,0.0,0.006490673390324161
2018-01-11,15838,49015,enter,-1,0.0,0.0010584891017058349
2018-01-11,14515,75346,enter,-1,0.0,0.0019389969880388947
2018-01-11,84389,87501,enter,1,0.0,0.003959010024680715
2018-01-11,85789,86382,enter,1,0.0,0.006030678392142944
2018-01-11,15838,77528,enter,-1,0.0,0.0014684332848149575
2018-01-11,83208,92804,enter,-1,0.0,0.0016742116744674163
2018-01-11,15906,19828,enter,-1,0.0,0.0004988393917822192
2018-01-11,92110,93116,enter,-1,0.0,0.0036457686249680376
2018-01-11,11363,17658,enter,1,0.0,0.005878315235414503
2018-01-11,24205,86996,enter,-1,0.0,0.003489748825644959
2018-01-11,15267,90839,enter,-1,0.0,0.008269943961975845
2018-01-11,79678,89056,enter,-1,0.0,0.00045599910454762046
2018-01-11,15041,90050,enter,1,0.0,0.0009095455426557877
2018-01-11,92110,92916,enter,-1,0.0,0.0023526749726326887
2018-01-11,70826,75837,enter,1,0.0,0.0018330185557600554
2018-01-11,75346,89744,enter,-1,0.0,0.005732488435240847
2018-01-12,78405,80866,stop,-1,0.0007783158127718116,0.0004147763077696236
2018-01-12,44601,48506,stop,1,0.001175809657209535,0.0006266068095422624
2018-01-12,15674,83218,stop,-1,0.0007476178076771588,0.00039841687500452545
2018-01-12,13756,14941,stop,-1,0.0012261638937230983,0.0006534413463188877
2018-01-12,13407,16093,stop,-1,0.0009758747773696197,0.0005200584780121198
2018-01-12,14239,14487,stop,-1,0.0011168436675097553,0.0005951829388071232
2018-01-12,15007,92956,stop,-1,0.006269320595548232,0.003341016083927277
2018-01-12,24205,90925,stop,-1,0.006490673390324161,0.0034589783473492133
2018-01-12,15838,49015,stop,-1,0.0010584891017058349,0.0005640849051446028
2018-01-12,14515,75346,stop,-1,0.0019389969880388947,0.001033320919706132
2018-01-12,84389,87501,stop,1,0.003959010024680715,0.0021098165211522295
2018-01-12,85789,86382,stop,1,0.006030678392142944,0.0032138400322755125
2018-01-12,15838,77528,stop,-1,0.0014684332848149575,0.0007825503813323361
2018-01-12,83208,92804,stop,-1,0.0016742116744674163,0.000892212807918354
2018-01-12,15906,19828,stop,-1,0.0004988393917822192,0.00026583908189738273
2018-01-12,92110,93116,stop,-1,0.0036457686249680376,0.0019428854257261816
2018-01-12,11363,17658,stop,1,0.005878315235414503,0.0031326433939046624
2018-01-12,24205,86996,stop,-1,0.003489748825644959,0.001859740107026153
2018-01-12,15267,90839,stop,-1,0.008269943961975845,0.004407178635872968
2018-01-12,79678,89056,stop,-1,0.00045599910454762046,0.0002430088427176391
2018-01-12,15041,90050,stop,1,0.0009095455426557877,0.0004847106222698468
2018-01-12,92110,92916,stop,-1,0.0023526749726326887,0.0012537761953664483
2018-01-12,70826,75837,resize,1,0.0018330185557600554,0.011129849963496495
2018-01-12,91872,92667,resize,-1,0.009319097272934417,0.01491634659963808
2018-01-12,91777,91781,enter,-1,0.0,0.004299546168360584
2018-01-12,76119,91878,enter,-1,0.0,0.00811431738071378
2018-01-12,10113,81472,enter,1,0.0,0.012998961576138977
2018-01-12,15389,91725,enter,-1,0.0,0.002904475900353694
2018-01-16,91338,92279,exit,-1,0.004523998940465896,0.00393291436883261
2018-01-16,15461,17634,stop,1,0.017165041605555334,0.014922337440942438
2018-01-16,91777,91781,stop,-1,0.004299546168360584,0.0037377875475945875
2018-01-16,76119,91878,stop,-1,0.00811431738071378,0.007054138570728958
2018-01-16,10113,81472,stop,1,0.012998961576138977,0.011300577969948659
2018-01-16,15389,91725,stop,-1,0.002904475900353694,0.0025249906449475636
2018-01-16,75346,89744,resize,-1,0.005732488435240847,0.009912730533212245
2018-01-16,78405,80866,enter,-1,0.0,0.0006693525299284678
2018-01-16,13756,14941,enter,-1,0.0,0.0010496812206935058
2018-01-16,44601,48506,enter,1,0.0,0.001051153130068751
2018-01-16,15674,83218,enter,-1,0.0,0.0006819652291009276
2018-01-16,13407,16093,enter,-1,0.0,0.0008674716164904311
2018-01-16,24205,90925,enter,-1,0.0,0.005667336470428846
2018-01-16,14239,14487,enter,-1,0.0,0.001014250143310228
2018-01-16,84389,87501,enter,1,0.0,0.0034849806634720732
2018-01-16,15007,92956,enter,-1,0.0,0.005682063198801189
2018-01-16,85789,86382,enter,1,0.0,0.00519492809576597
2018-01-16,14515,75346,enter,-1,0.0,0.0017612692799290296
2018-01-16,15838,49015,enter,-1,0.0,0.0009472944917946
2018-01-16,11363,17658,enter,1,0.0,0.00527558349101222
2018-01-16,15906,19828,enter,-1,0.0,0.00045015712195412146
2018-01-16,15838,77528,enter,-1,0.0,0.0013207865788885595
2018-01-16,83208,92804,enter,-1,0.0,0.0015322785666653093
2018-01-16,24205,86996,enter,-1,0.0,0.0031740430183831245
2018-01-16,15267,90839,enter,-1,0.0,0.007395226205605751
2018-01-16,92110,93116,enter,-1,0.0,0.003209328466522351
2018-01-16,15041,90050,enter,1,0.0,0.0008312430957733854
2018-01-16,92110,92916,enter,-1,0.0,0.002084503042590107
2018-01-16,79678,89056,enter,-1,0.0,0.00040063129179351365
2018-01-16,13685,15928,enter,1,0.0,0.005846008860010477
2018-01-16,13254,16015,enter,-1,0.0,0.0004116620423144891
2018-01-16,13076,90066,enter,-1,0.0,0.0007115364507091645
2018-01-17,13189,14108,exit,-1,0.007273888836974534,0.005411741242183228
2018-01-17,78405,80866,stop,-1,0.0006693525299284678,0.0004979953327524649
2018-01-17,13756,14941,stop,-1,0.0010496812206935058,0.0007809582027562361
2018-01-17,44601,48506,stop,1,0.001051153130068751,0.0007820532968454226
2018-01-17,15674,83218,stop,-1,0.0006819652291009276,0.0005073791253586825
2018-01-17,13407,16093,stop,-1,0.0008674716164904311,0.0006453950601391428
2018-01-17,24205,90925,stop,-1,0.005667336470428846,0.004216473360775982
2018-01-17,14239,14487,stop,-1,0.001014250143310228,0.0007545976373107758
2018-01-17,84389,87501,stop,1,0.0034849806634720732,0.00259281025699141
2018-01-17,15007,92956,stop,-1,0.005682063198801189,0.004227429981791405
2018-01-17,85789,86382,stop,1,0.00519492809576597,0.0038650036117030516
2018-01-17,14515,75346,stop,-1,0.0017612692799290296,0.0013103765832015088
2018-01-17,15838,49015,stop,-1,0.0009472944917946,0.0007047829276244666
2018-01-17,11363,17658,stop,1,0.00527558349101222,0.003925010870356769
2018-01-17,15906,19828,stop,-1,0.00045015712195412146,0.0003349149151081745
2018-01-17,15838,77528,stop,-1,0.0013207865788885595,0.000982659394622576
2018-01-17,83208,92804,stop,-1,0.0015322785666653093,0.0011400085015851184
2018-01-17,24205,86996,stop,-1,0.0031740430183831245,0.0023614740191977217
2018-01-17,15267,90839,stop,-1,0.007395226205605751,0.005502015709769492
2018-01-17,92110,93116,stop,-1,0.003209328466522351,0.0023877262371273258
2018-01-17,15041,90050,stop,1,0.0008312430957733854,0.000618441200367308
2018-01-17,92110,92916,stop,-1,0.002084503042590107,0.001550861078285791
2018-01-17,13685,15928,stop,1,0.005846008860010477,0.004349404831301524
2018-01-17,13254,16015,stop,-1,0.0004116620423144891,0.00030627474548556915
2018-01-17,70826,75837,resize,1,0.011129849963496495,0.013922214660650103
2018-01-17,79678,89056,resize,-1,0.00040063129179351365,0.0016246142709951561
2018-01-17,91777,91781,enter,-1,0.0,0.001681492869330617
2018-01-17,76119,91878,enter,-1,0.0,0.003626486920607692
2018-01-17,10113,81472,enter,1,0.0,0.00715330099156349
2018-01-17,15461,17634,enter,1,0.0,0.006961521448177572
2018-01-17,15389,91725,enter,-1,0.0,0.0012986114866201934
2018-01-17,13786,92733,enter,-1,0.0,0.008184131237396577
2018-01-17,84761,93306,enter,-1,0.0,0.003842896308877548
2018-01-17,16166,91648,enter,1,0.0,0.00534039056821511
2018-01-17,14522,89655,enter,-1,0.0,0.005173318961058571
2018-01-17,79561,93221,enter,-1,0.0,0.0016920263174072107
2018-01-17,13102,82800,enter,-1,0.0,0.005337379369124302
2018-01-18,13437,15573,time_exit,-1,0.023973264143721952,0.021153419292714092
2018-01-18,12376,13034,time_exit,1,0.022535050615057242,0.01988437500980339
2018-01-18,14401,24985,time_exit,-1,0.01662842499562984,0.014672513680291644
2018-01-18,89792,92402,time_exit,-1,0.0005978721941491687,0.0005275477352801079
2018-01-18,91777,91781,stop,-1,0.001681492869330617,0.0014837079961000739
2018-01-18,76119,91878,stop,-1,0.003626486920607692,0.003199922961314692
2018-01-18,10113,81472,stop,1,0.00715330099156349,0.006311897048911313
2018-01-18,15461,17634,stop,1,0.006961521448177572,0.006142675491567819
2018-01-18,13786,92733,stop,-1,0.008184131237396577,0.007221476331857195
2018-01-18,84761,93306,stop,-1,0.003842896308877548,0.0033908772886648473
2018-01-18,75346,89744,resize,-1,0.009912730533212245,0.012701857394668059
2018-01-18,15389,91725,resize,-1,0.0012986114866201934,0.0014585654595386818
2018-01-18,79561,93221,resize,-1,0.0016920263174072107,0.0018791044379863904
2018-01-18,13102,82800,resize,-1,0.005337379369124302,0.00603120338813026
2018-01-18,16166,91648,resize,1,0.00534039056821511,0.006029888834341423
2018-01-18,14522,89655,resize,-1,0.005173318961058571,0.005808876643295933
2018-01-18,78405,80866,enter,-1,0.0,0.0005513045579571251
2018-01-18,13756,14941,enter,-1,0.0,0.0007992536814450774
2018-01-18,13407,16093,enter,-1,0.0,0.00071179523852035
2018-01-18,44601,48506,enter,1,0.0,0.0009166151559830053
2018-01-18,85789,86382,enter,1,0.0,0.0038876183779282384
2018-01-18,84389,87501,enter,1,0.0,0.002823824250044126
2018-01-18,24205,90925,enter,-1,0.0,0.004977187404311655
2018-01-18,15007,92956,enter,-1,0.0,0.005178508150281596
2018-01-18,15674,83218,enter,-1,0.0,0.0005929458658454934
2018-01-18,14515,75346,enter,-1,0.0,0.0015666815971254635
2018-01-18,11363,17658,enter,1,0.0,0.004683827988859799
2018-01-18,14239,14487,enter,-1,0.0,0.000850236417206994
2018-01-18,15906,19828,enter,-1,0.0,0.0003980058220722908
2018-01-18,15838,49015,enter,-1,0.0,0.0008143771751760005
2018-01-18,13254,16015,enter,-1,0.0,0.00030457200178712077
