month,permno,in_sp500_proxy
2016-02,64282,1
2016-02,89003,1
2016-02,89070,1
2016-02,81481,1
2016-02,75034,1
2016-02,80924,1
2016-02,87657,1
2016-02,64390,1
2016-02,30681,1
2016-02,82800,1
2016-02,61621,1
2016-02,27828,1
2016-02,12872,1
2016-02,60506,1
2016-02,59248,1
2016-02,81540,1
2016-02,23536,1
2016-02,10909,1
2016-02,85991,1
2016-02,48506,1
2016-02,85913,1
2016-02,44206,1
2016-02,92618,1
2016-02,10138,1
2016-02,41080,1
2016-02,77338,1
2016-02,86580,1
2016-02,68144,1
2016-02,82775,1
2016-02,60599,1
2016-02,60871,1
2016-02,46578,1
2016-02,84769,1
2016-02,35554,1
2016-02,86228,1
2016-02,91068,1
2016-02,84597,1
2016-02,42585,1
2016-02,68591,1
2016-02,82618,1
2016-02,39490,1
2016-02,90808,1
2016-02,43350,1
2016-02,14338,1
2016-02,46877,1
2016-02,90880,1
2016-02,23026,1
2016-02,16600,1
2016-02,56274,1
2016-02,21573,1
2016-02,82307,1
2016-02,79906,1
2016-02,92890,1
2016-02,79588,1
2016-02,28484,1
2016-02,84381,1
2016-02,41355,1
2016-02,21207,1
2016-02,14040,1
2016-02,12742,1
2016-02,58246,1
2016-02,15707,1
2016-02,46674,1
2016-02,77462,1
2016-02,52695,1
2016-02,77496,1
2016-02,87056,1
2016-02,15202,1
2016-02,11618,1
2016-02,24010,1
2016-02,22779,1
2016-02,13511,1
2016-02,91063,1
2016-02,45911,1
2016-02,11674,1
2016-02,61815,1
2016-02,14295,1
2016-02,75607,1
2016-02,81857,1
2016-02,34817,1
2016-02,52476,1
2016-02,26710,1
2016-02,87432,1
2016-02,93089,1
2016-02,25778,1
2016-02,76201,1
2016-02,25419,1
2016-02,38156,1
2016-02,15859,1
2016-02,34746,1
2016-02,10933,1
2016-02,87184,1
2016-02,86996,1
2016-02,12449,1
2016-02,23393,1
2016-02,24643,1
2016-02,92239,1
2016-02,48486,1
2016-02,78977,1
2016-02,85631,1
2016-02,92614,1
2016-02,29946,1
2016-02,89014,1
2016-02,91152,1
2016-02,24985,1
2016-02,80286,1
2016-02,91416,1
2016-02,59010,1
2016-02,39538,1
2016-02,70500,1
2016-02,53613,1
2016-02,89195,1
2016-02,84032,1
2016-02,23229,1
2016-02,85257,1
2016-02,89217,1
2016-02,88661,1
2016-02,52090,1
2016-02,91207,1
2016-02,11891,1
2016-02,82581,1
2016-02,81696,1
2016-02,46886,1
2016-02,92322,1
2016-02,85914,1
2016-02,10299,1
2016-02,23473,1
2016-02,90601,1
2016-02,70308,1
2016-02,77281,1
2016-02,60986,1
2016-02,14889,1
2016-02,66384,1
2016-02,87137,1
2016-02,85459,1
2016-02,79637,1
2016-02,77661,1
2016-02,89002,1
2016-02,76095,1
2016-02,82651,1
2016-02,25582,1
2016-02,11896,1
2016-02,35044,1
2016-02,37284,1
2016-02,83906,1
2016-02,81774,1
2016-02,87299,1
2016-02,84373,1
2016-02,12062,1
2016-02,80080,1
2016-02,52978,1
2016-02,86979,1
2016-02,34032,1
2016-02,90386,1
2016-02,57568,1
2016-02,23085,1
2016-02,23579,1
2016-02,85753,1
2016-02,76082,1
2016-02,28804,1
2016-02,80204,1
2016-02,89216,1
2016-02,91461,1
2016-02,86021,1
2016-02,78987,1
2016-02,89508,1
2016-02,23660,1
2016-02,85926,1
2016-02,12448,1
2016-02,57817,1
2016-02,90520,1
2016-02,12650,1
2016-02,77606,1
2016-02,13447,1
2016-02,64995,1
2016-02,49015,1
2016-02,82686,1
2016-02,91983,1
2016-02,42877,1
2016-02,53065,1
2016-02,15456,1
2016-02,11600,1
2016-02,14570,1
2016-02,90829,1
2016-02,85621,1
2016-02,90199,1
2016-02,14558,1
2016-02,89866,1
2016-02,84723,1
2016-02,60206,1
2016-02,89533,1
2016-02,87717,1
2016-02,75100,1
2016-02,46922,1
2016-02,13168,1
2016-02,40272,1
2016-02,81655,1
2016-02,13314,1
2016-02,16432,1
2016-02,21792,1
2016-02,92203,1
2016-02,76639,1
2016-02,81736,1
2016-02,89509,1
2016-02,70033,1
2016-02,88873,1
2016-02,47626,1
2016-02,91277,1
2016-02,15553,1
2016-02,49373,1
2016-02,58819,1
2016-02,21186,1
2016-02,27991,1
2016-02,90979,1
2016-02,86097,1
2016-02,93101,1
2016-02,77659,1
2016-02,85593,1
2016-02,13911,1
2016-02,14608,1
2016-02,25953,1
2016-02,52708,1
2016-02,79859,1
2016-02,83621,1
2016-02,91611,1
2016-02,85645,1
2016-02,15404,1
2016-02,68857,1
2016-02,82598,1
2016-02,29938,1
2016-02,71271,1
2016-02,32986,1
2016-02,89353,1
2016-02,38093,1
2016-02,90992,1
2016-02,12981,1
2016-02,42906,1
2016-02,14926,1
2016-02,92402,1
2016-02,27983,1
2016-02,89269,1
2016-02,65541,1
2016-02,90090,1
2016-02,38762,1
2016-02,13627,1
2016-02,71175,1
2016-02,79698,1
2016-02,77357,1
2016-02,13628,1
2016-02,13035,1
2016-02,13567,1
2016-02,91849,1
2016-02,23501,1
2016-02,13949,1
2016-02,90248,1
2016-02,83862,1
2016-02,86964,1
2016-02,84656,1
2016-02,11403,1
2016-02,76709,1
2016-02,27043,1
2016-02,17726,1
2016-02,81677,1
2016-02,13936,1
2016-02,88664,1
2016-02,37161,1
2016-02,76712,1
2016-02,90925,1
2016-02,88853,1
2016-02,17929,1
2016-02,79785,1
2016-02,14179,1
2016-02,23887,1
2016-02,17743,1
2016-02,80191,1
2016-02,82272,1
2016-02,68196,1
2016-02,92778,1
2016-02,92257,1
2016-02,91594,1
2016-02,93179,1
2016-02,62308,1
2016-02,90786,1
2016-02,83597,1
2016-02,69649,1
2016-02,37807,1
2016-02,85035,1
2016-02,85208,1
2016-02,24053,1
2016-02,12623,1
2016-02,13904,1
2016-02,79545,1
2016-02,75489,1
2016-02,60943,1
2016-02,36003,1
2016-02,54148,1
2016-02,93150,1
2016-03,14593,1
2016-03,10107,1
2016-03,11850,1
2016-03,22111,1
2016-03,84788,1
2016-03,13407,1
2016-03,14542,1
2016-03,38703,1
2016-03,90319,1
2016-03,18163,1
2016-03,65875,1
2016-03,47896,1
2016-03,55976,1
2016-03,11308,1
2016-03,66093,1
2016-03,12060,1
2016-03,14541,1
2016-03,83443,1
2016-03,21936,1
2016-03,17778,1
2016-03,10104,1
2016-03,66181,1
2016-03,26403,1
2016-03,59328,1
2016-03,92602,1
2016-03,13856,1
2016-03,89525,1
2016-03,92611,1
2016-03,76076,1
2016-03,22752,1
2016-03,59408,1
2016-03,12490,1
2016-03,77274,1
2016-03,70519,1
2016-03,13901,1
2016-03,92655,1
2016-03,17005,1
2016-03,43449,1
2016-03,14008,1
2016-03,19393,1
2016-03,91233,1
2016-03,15408,1
2016-03,13721,1
2016-03,19502,1
2016-03,77702,1
2016-03,22592,1
2016-03,57665,1
2016-03,19561,1
2016-03,10145,1
2016-03,50876,1
2016-03,11552,1
2016-03,77178,1
2016-03,87447,1
2016-03,86946,1
2016-03,66157,1
2016-03,87055,1
2016-03,61399,1
2016-03,21178,1
2016-03,48725,1
2016-03,86868,1
2016-03,86783,1
2016-03,18729,1
2016-03,89006,1
2016-03,20482,1
2016-03,66800,1
2016-03,59176,1
2016-03,91883,1
2016-03,15579,1
2016-03,77418,1
2016-03,20626,1
2016-03,62092,1
2016-03,87267,1
2016-03,27959,1
2016-03,11703,1
2016-03,24205,1
2016-03,25785,1
2016-03,76841,1
2016-03,34833,1
2016-03,40539,1
2016-03,10147,1
2016-03,13928,1
2016-03,90215,1
2016-03,49154,1
2016-03,69032,1
2016-03,17750,1
2016-03,12369,1
2016-03,18411,1
2016-03,75510,1
2016-03,15488,1
2016-03,17830,1
2016-03,13356,1
2016-03,64936,1
2016-03,18542,1
2016-03,49680,1
2016-03,89393,1
2016-03,60628,1
2016-03,77668,1
2016-03,87842,1
2016-03,60442,1
2016-03,90505,1
2016-03,44644,1
2016-03,12052,1
2016-03,73139,1
2016-03,75825,1
2016-03,12558,1
2016-03,49656,1
2016-03,88845,1
2016-03,88668,1
2016-03,86158,1
2016-03,91926,1
2016-03,17144,1
2016-03,76614,1
2016-03,75186,1
2016-03,56573,1
2016-03,16678,1
2016-03,24942,1
2016-03,89179,1
2016-03,81055,1
2016-03,81061,1
2016-03,24766,1
2016-03,64186,1
2016-03,22103,1
2016-03,83435,1
2016-03,59459,1
2016-03,70578,1
2016-03,77768,1
2016-03,24109,1
2016-03,89626,1
2016-03,89258,1
2016-03,45751,1
2016-03,39642,1
2016-03,91937,1
2016-03,83111,1
2016-03,12622,1
2016-03,90441,1
2016-03,93436,1
2016-03,23819,1
2016-03,85269,1
2016-03,22509,1
2016-03,13688,1
2016-03,58683,1
2016-03,28222,1
2016-03,90993,1
2016-03,15401,1
2016-03,86356,1
2016-03,48653,1
2016-03,88031,1
2016-03,21371,1
2016-03,78975,1
2016-03,69796,1
2016-03,79103,1
2016-03,57904,1
2016-03,52038,1
2016-03,17478,1
2016-03,36468,1
2016-03,11955,1
2016-03,71563,1
2016-03,86136,1
2016-03,43553,1
2016-03,22517,1
2016-03,79323,1
2016-03,77605,1
2016-03,26825,1
2016-03,42534,1
2016-03,79678,1
